City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,blackmans bay,-43.0167,147.3167,53.73,61,60,3.0,AU,1702585942
1,anadyr,64.75,177.4833,16.3,86,100,24.61,RU,1702585942
2,tolanaro,-25.0319,46.9987,78.87,83,20,20.71,MG,1702585943
3,newman,37.3138,-121.0208,63.23,60,100,1.99,US,1702585943
4,holualoa,19.6228,-155.9522,76.84,65,40,26.46,US,1702585943
5,pachino,36.7186,15.0907,59.41,73,99,8.97,IT,1702585944
6,nemuro,43.3236,145.575,26.28,68,46,18.12,JP,1702585945
7,kodiak,57.79,-152.4072,26.11,74,0,23.02,US,1702585945
8,port mathurin,-19.6833,63.4167,79.47,76,3,14.97,MU,1702585947
9,al bawiti,28.3492,28.8659,57.49,65,0,1.61,EG,1702585947
10,port-aux-francais,-49.35,70.2167,42.55,78,22,24.74,TF,1702585947
11,college,64.8569,-147.8028,-13.56,75,20,0.0,US,1702585948
12,wailua homesteads,22.0669,-159.378,75.63,84,75,27.63,US,1702585948
13,cidreira,-30.1811,-50.2056,74.25,90,86,8.59,BR,1702585948
14,isafjordur,66.0755,-23.124,32.5,69,76,28.23,IS,1702585949
15,stanley,54.868,-1.6985,43.29,91,20,6.91,GB,1702585949
16,garoowe,8.4054,48.4845,75.15,62,14,9.82,SO,1702585949
17,ushuaia,-54.8,-68.3,53.26,43,75,12.66,AR,1702585888
18,cabo san lucas,22.8909,-109.9124,85.6,36,0,5.75,MX,1702585814
19,avarua,-21.2078,-159.775,75.25,100,100,3.44,CK,1702585950
20,west island,-12.1568,96.8225,78.78,78,19,6.91,CC,1702585951
21,moussoro,13.6408,16.4901,71.15,19,96,10.92,TD,1702585951
22,moree,-29.4667,149.85,79.65,62,27,7.65,AU,1702585951
23,zeya,53.75,127.2667,-13.52,77,5,5.99,RU,1702585951
24,ghat,24.9647,10.1728,65.34,15,65,8.43,LY,1702585952
25,pechora,65.1472,57.2244,4.73,95,100,7.83,RU,1702585952
26,adamstown,-25.066,-130.1015,73.74,83,85,14.34,PN,1702585952
27,mount pearl,47.5166,-52.7813,27.14,60,40,20.71,CA,1702585952
28,dudinka,69.4058,86.1778,-7.38,94,100,18.01,RU,1702585953
29,les cayes,18.2,-73.75,80.98,68,82,1.88,HT,1702585953
30,tofol,5.3248,163.0078,80.19,89,100,20.18,FM,1702585953
31,lazaro cardenas,17.9583,-102.2,85.6,50,100,6.58,MX,1702585953
32,tiksi,71.6872,128.8694,0.99,99,100,7.96,RU,1702585954
33,queenstown,-31.8976,26.8753,55.51,78,96,4.72,ZA,1702585954
34,kerikeri,-35.2268,173.9474,63.91,83,41,2.33,NZ,1702585954
35,vadso,70.0744,29.7487,19.56,79,75,11.5,NO,1702585954
36,narrabri,-30.3167,149.7833,81.52,63,10,3.0,AU,1702585954
37,huarmey,-10.0681,-78.1522,74.05,75,55,9.31,PE,1702585955
38,utrik,11.2278,169.8474,80.87,82,69,20.94,MH,1702585955
39,camana,-16.6228,-72.7111,72.46,76,54,5.61,PE,1702585955
40,alofi,-19.0595,-169.9187,82.29,78,75,5.75,NU,1702585955
41,ayancik,41.9447,34.5861,56.28,63,100,9.89,TR,1702585956
42,saint-pierre,-21.3393,55.4781,76.68,78,0,4.61,RE,1702585956
43,bahia de kino,28.8333,-111.9333,77.92,36,0,8.88,MX,1702585956
44,ta`u,-14.2336,-169.5144,78.03,91,100,18.03,AS,1702585957
45,georgetown,5.4112,100.3354,78.73,92,20,3.44,MY,1702585957
46,thompson,55.7435,-97.8558,35.76,60,75,9.22,CA,1702585957
47,mata-utu,-13.2816,-176.1745,78.71,87,100,15.68,WF,1702585957
48,ar rudayyif,34.3827,8.1555,51.57,54,69,18.34,TN,1702585958
49,iskateley,67.6803,53.1512,5.02,96,96,5.99,RU,1702585958
50,atafu village,-8.5421,-172.5159,82.89,74,100,5.01,TK,1702585958
51,iqaluit,63.7506,-68.5145,-2.47,71,100,5.75,CA,1702585958
52,albany,42.6001,-73.9662,37.02,57,66,4.32,US,1702585809
53,kendari,-3.945,122.4989,75.74,94,99,3.31,ID,1702585763
54,rio grande,-32.035,-52.0986,87.91,81,99,9.04,BR,1702585959
55,kavalerovo,44.2661,135.0572,3.4,59,100,7.0,RU,1702585959
56,invercargill,-46.4,168.35,64.98,59,92,10.18,NZ,1702585959
57,grytviken,-54.2811,-36.5092,39.63,64,12,3.98,GS,1702585959
58,mega,4.05,38.3,66.34,66,99,7.67,ET,1702585959
59,grand-bassam,5.2118,-3.7388,80.37,72,0,5.3,CI,1702585960
60,hermanus,-34.4187,19.2345,63.91,62,60,9.73,ZA,1702585960
61,dampit,-8.2116,112.7493,72.7,98,99,1.3,ID,1702585960
62,port lincoln,-34.7333,135.8667,58.39,81,0,6.4,AU,1702585960
63,yellowknife,62.456,-114.3525,7.41,79,20,15.01,CA,1702585770
64,olonkinbyen,70.9221,-8.7187,34.68,85,100,29.01,SJ,1702585961
65,tazovsky,67.4667,78.7,-3.08,100,96,4.14,RU,1702585961
66,tsiombe,-25.3,45.4833,75.97,87,8,5.86,MG,1702585962
67,santa cruz,-17.8,-63.1667,93.25,49,75,18.41,BO,1702585962
68,sejenane,37.0572,9.2381,49.15,75,100,19.84,TN,1702585963
69,sao jose da coroa grande,-8.8978,-35.1478,79.47,73,98,8.99,BR,1702585963
70,trikala,39.5553,21.7675,55.49,83,21,1.63,GR,1702585963
71,punta arenas,-53.15,-70.9167,53.62,71,75,14.97,CL,1702585823
72,reyes,-14.3167,-67.3833,80.76,89,75,6.91,BO,1702585964
73,khandyga,62.6667,135.6,-33.9,98,100,2.13,RU,1702585964
74,sitka,57.0531,-135.33,44.49,76,100,20.71,US,1702585964
75,bredasdorp,-34.5322,20.0403,62.96,60,81,6.55,ZA,1702585964
76,edinburgh of the seven seas,-37.0676,-12.3116,62.92,93,100,23.11,SH,1702585965
77,lebu,-37.6167,-73.65,58.42,66,0,7.43,CL,1702585965
78,hawaiian paradise park,19.5933,-154.9731,71.89,96,100,14.97,US,1702585965
79,chui,-33.6971,-53.4616,73.38,83,100,7.61,UY,1702585965
80,flin flon,54.7682,-101.865,39.04,52,100,5.75,CA,1702585966
81,port elizabeth,-33.918,25.5701,62.1,90,0,8.05,ZA,1702585966
82,souillac,-20.5167,57.5167,79.18,89,40,3.44,MU,1702585966
83,labuan,5.2767,115.2417,82.76,83,20,3.44,MY,1702585966
84,bathsheba,13.2167,-59.5167,84.81,70,40,17.27,BB,1702585966
85,qaqortoq,60.7167,-46.0333,-1.21,76,16,8.12,GL,1702585966
86,el granada,37.5027,-122.4694,64.81,64,0,3.44,US,1702585967
87,saint-philippe,-21.3585,55.7679,76.59,83,52,10.22,RE,1702585967
88,minas de marcona,-15.2119,-75.1103,68.59,67,31,10.51,PE,1702585939
89,bilibino,68.0546,166.4372,-12.73,87,100,7.74,RU,1702585967
90,waitangi,-43.9535,-176.5597,56.82,72,37,5.99,NZ,1702585967
91,nchelenge,-9.3451,28.734,71.28,85,97,4.54,ZM,1702585968
